race_id,race_date,bet_amount,payout,profit,cumulative_profit,drawdown,profit_100yen,cumulative_profit_100yen,logic,variant,source_note
202505031202,2025-05-03,100,0,-100,-1300,-1200,-100.0,-1300.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202505031203,2025-05-03,100,0,-100,-1400,-1300,-100.0,-1400.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202505031204,2025-05-03,100,0,-100,-1500,-1400,-100.0,-1500.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202505051408,2025-05-05,100,0,-100,-1600,-1500,-100.0,-1600.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202505080306,2025-05-08,100,0,-100,-1700,-1600,-100.0,-1700.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202505081409,2025-05-08,100,0,-100,-1800,-1700,-100.0,-1800.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202505090302,2025-05-09,100,0,-100,-1900,-1800,-100.0,-1900.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202505131202,2025-05-13,100,0,-100,-2000,-1900,-100.0,-2000.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202505160304,2025-05-16,100,0,-100,-2100,-2000,-100.0,-2100.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202505161204,2025-05-16,100,0,-100,-2200,-2100,-100.0,-2200.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202505201405,2025-05-20,100,0,-100,-2300,-2200,-100.0,-2300.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202505240303,2025-05-24,100,0,-100,-2400,-2300,-100.0,-2400.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202505240308,2025-05-24,100,0,-100,-2500,-2400,-100.0,-2500.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202505241202,2025-05-24,100,0,-100,-2600,-2500,-100.0,-2600.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202505250301,2025-05-25,100,0,-100,-2700,-2600,-100.0,-2700.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202505252107,2025-05-25,100,0,-100,-2800,-2700,-100.0,-2800.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202505260301,2025-05-26,100,0,-100,-2900,-2800,-100.0,-2900.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202505292107,2025-05-29,100,0,-100,-3000,-2900,-100.0,-3000.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202506031204,2025-06-03,100,0,-100,-3100,-3000,-100.0,-3100.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202506050302,2025-06-05,100,0,-100,-3200,-3100,-100.0,-3200.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202506051202,2025-06-05,100,0,-100,-3300,-3200,-100.0,-3300.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202506051203,2025-06-05,100,0,-100,-3400,-3300,-100.0,-3400.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202506081405,2025-06-08,100,0,-100,-3500,-3400,-100.0,-3500.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202506151201,2025-06-15,100,0,-100,-3600,-3500,-100.0,-3600.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202506160302,2025-06-16,100,0,-100,-3700,-3600,-100.0,-3700.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202506161204,2025-06-16,100,0,-100,-3800,-3700,-100.0,-3800.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202506161402,2025-06-16,100,10900,10800,7000,0,10800.0,7000.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202506161409,2025-06-16,100,0,-100,6900,-100,-100.0,6900.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202506240307,2025-06-24,100,0,-100,6800,-200,-100.0,6800.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202506250303,2025-06-25,100,0,-100,6700,-300,-100.0,6700.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202506251201,2025-06-25,100,0,-100,6600,-400,-100.0,6600.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202506251209,2025-06-25,100,0,-100,6500,-500,-100.0,6500.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202506251210,2025-06-25,100,0,-100,6400,-600,-100.0,6400.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202506271209,2025-06-27,100,0,-100,6300,-700,-100.0,6300.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
