exclude_lane,rule,sample,hits,hit_rate_pct,baseline_hit_rate_pct,lift_vs_baseline,roi_pct
1,l1_worst_motor & wind_3_4,677,33,4.87,3.36,1.45,69.28
1,l1_class_eq_B2 & l1_worst_class,503,46,9.15,3.36,2.72,68.81
1,l1_exh_gap_ge_002 & wind_3_4,5066,195,3.85,3.36,1.15,67.88
1,l1_worst_class & wind_ge_4,368,40,10.87,3.36,3.23,66.52
1,l1_class_le_B1 & l1_worst_class,1042,113,10.84,3.36,3.23,66.29
1,l1_worst_class & l1_exh_gap_ge_002,622,66,10.61,3.36,3.16,64.87
1,l1_exh_gap_ge_002 & final_day,677,25,3.69,3.36,1.1,63.88
1,l1_worst_motor & wind_ge_4,543,27,4.97,3.36,1.48,58.03
1,wind_3_4 & wave_ge_4,2383,80,3.36,3.36,1.0,53.97
1,wind_ge_4 & wind_3_4,3991,133,3.33,3.36,0.99,52.9
1,l1_worst_class & wind_3_4,396,38,9.6,3.36,2.86,45.97
1,l1_worst_motor & l1_worst_st,375,21,5.6,3.36,1.67,39.87
2,l2_class_eq_B2 & l2_worst_st,209,46,22.01,10.88,2.02,147.19
2,l2_course_back & l1_worst_st,306,26,8.5,10.88,0.78,121.28
2,l2_worst_st & wave_5_6,662,100,15.11,10.88,1.39,115.53
2,l2_course_back & l4_course_front,341,50,14.66,10.88,1.35,113.61
2,l2_worst_class & wave_5_6,225,42,18.67,10.88,1.72,107.43
2,l2_worst_class & l2_worst_st,581,153,26.33,10.88,2.42,106.56
2,l2_worst_nat & l4_course_front,202,30,14.85,10.88,1.36,105.03
2,l2_st_gap_ge_005 & l4_course_front,322,46,14.29,10.88,1.31,104.81
2,l2_worst_st & wave_ge_4,1496,227,15.17,10.88,1.39,100.22
2,wave_ge_4 & final_day,248,32,12.9,10.88,1.19,97.39
2,l2_worst_nat & l2_worst_st,2040,454,22.25,10.88,2.04,97.1
2,l2_worst_class & l2_st_gap_ge_005,957,220,22.99,10.88,2.11,96.18
2,l2_worst_nat & final_day,346,69,19.94,10.88,1.83,96.17
2,wind_ge_4 & l4_course_front,261,31,11.88,10.88,1.09,96.06
2,l2_worst_class & l1_worst_st,358,71,19.83,10.88,1.82,96.04
2,l2_course_back & wind_3_4,486,47,9.67,10.88,0.89,95.91
2,wind_ge_4 & final_day,398,54,13.57,10.88,1.25,94.75
2,l2_worst_nat & l2_st_gap_ge_005,3235,631,19.51,10.88,1.79,93.88
2,l2_worst_st & wind_ge_4,2055,310,15.09,10.88,1.39,93.08
2,l2_worst_st & l4_course_front,220,34,15.45,10.88,1.42,92.33
2,l2_exh_gap_ge_002 & l4_course_front,461,50,10.85,10.88,1.0,91.32
2,l2_course_back & l2_st_gap_ge_005,623,64,10.27,10.88,0.94,91.32
2,l2_slowest_exh & l2_course_back,246,31,12.6,10.88,1.16,91.3
2,l2_worst_nat & l2_course_back,344,47,13.66,10.88,1.26,91.18
2,l2_class_le_B1 & l2_worst_st,3845,645,16.78,10.88,1.54,89.49
2,wind_3_4 & final_day,543,79,14.55,10.88,1.34,89.16
2,wind_3_4 & l4_course_front,317,31,9.78,10.88,0.9,89.11
2,l2_worst_nat & l2_slowest_exh,1722,380,22.07,10.88,2.03,87.41
2,l2_class_eq_B2 & l2_st_gap_ge_005,373,60,16.09,10.88,1.48,85.98
2,l2_slowest_exh & l2_worst_st,1730,321,18.55,10.88,1.7,85.86
2,l2_worst_class & l2_exh_gap_ge_002,1420,310,21.83,10.88,2.01,84.64
2,l2_worst_st & l2_st_gap_ge_005,5185,758,14.62,10.88,1.34,84.34
2,l2_worst_class & wind_ge_4,660,127,19.24,10.88,1.77,82.99
2,l2_worst_nat & l1_worst_st,1185,179,15.11,10.88,1.39,82.9
2,l2_st_gap_ge_005 & l1_worst_st,1617,153,9.46,10.88,0.87,82.73
2,l2_class_le_B1 & l2_course_back,727,74,10.18,10.88,0.94,82.68
2,final_day & l1_worst_st,297,35,11.78,10.88,1.08,80.43
2,l2_worst_st & l2_exh_gap_ge_002,4158,637,15.32,10.88,1.41,80.11
2,l2_worst_nat & l2_exh_gap_ge_002,4717,887,18.8,10.88,1.73,79.96
2,l2_worst_class & l2_worst_nat,1617,357,22.08,10.88,2.03,79.85
2,l2_class_le_B1 & l4_course_front,447,54,12.08,10.88,1.11,79.69
2,l2_exh_gap_ge_002 & l2_st_gap_ge_005,7328,962,13.13,10.88,1.21,79.46
2,l2_worst_st & l2_course_back,342,42,12.28,10.88,1.13,79.32
2,l2_slowest_exh & l2_st_gap_ge_005,2507,374,14.92,10.88,1.37,79.04
2,l2_worst_nat & wind_3_4,2476,432,17.45,10.88,1.6,78.97
2,l2_class_le_B1 & l2_st_gap_ge_005,6601,928,14.06,10.88,1.29,78.4
2,l2_worst_class & wave_ge_4,489,86,17.59,10.88,1.62,78.33
2,l2_class_le_B1 & l2_worst_class,1927,388,20.13,10.88,1.85,78.28
2,l2_course_back & l2_exh_gap_ge_002,760,70,9.21,10.88,0.85,77.84
2,l2_worst_nat & wave_5_6,761,127,16.69,10.88,1.53,77.64
2,l2_st_gap_ge_005 & wave_5_6,1224,135,11.03,10.88,1.01,77.58
2,l2_worst_nat & wind_ge_4,2277,407,17.87,10.88,1.64,77.41
2,l2_slowest_exh & wave_5_6,661,91,13.77,10.88,1.27,77.19
2,l2_class_le_B1 & l2_worst_nat,5871,1056,17.99,10.88,1.65,76.86
2,l2_slowest_exh & wind_3_4,2098,291,13.87,10.88,1.27,76.65
2,l2_worst_motor & wind_ge_4,589,67,11.38,10.88,1.05,76.51
2,l2_slowest_exh & wind_ge_4,2028,281,13.86,10.88,1.27,76.31
2,l2_class_le_B1 & final_day,866,119,13.74,10.88,1.26,76.31
2,l2_worst_st & wind_3_4,2248,303,13.48,10.88,1.24,75.94
2,l2_worst_motor & wave_ge_4,387,38,9.82,10.88,0.9,75.5
2,l2_slowest_exh & wave_ge_4,1531,197,12.87,10.88,1.18,75.49
2,l2_exh_gap_ge_002 & final_day,931,121,13.0,10.88,1.19,75.04
2,wind_3_4 & wave_5_6,439,42,9.57,10.88,0.88,74.43
2,l2_worst_motor & final_day,319,52,16.3,10.88,1.5,74.38
2,l2_class_le_B1 & wave_5_6,1661,201,12.1,10.88,1.11,74.33
2,l2_worst_motor & l1_worst_st,376,36,9.57,10.88,0.88,74.18
2,l2_exh_gap_ge_002 & l1_worst_st,3208,319,9.94,10.88,0.91,73.94
2,l2_slowest_exh & final_day,299,45,15.05,10.88,1.38,73.46
2,l2_st_gap_ge_005 & final_day,676,92,13.61,10.88,1.25,73.3
2,l2_class_eq_B2 & l2_worst_class,721,113,15.67,10.88,1.44,73.16
2,l2_worst_class & wind_3_4,713,140,19.64,10.88,1.8,73.14
2,wave_ge_4 & wave_5_6,3127,332,10.62,10.88,0.98,72.74
2,wind_ge_4 & wave_5_6,2818,301,10.68,10.88,0.98,72.44
2,wave_5_6 & l1_worst_st,588,46,7.82,10.88,0.72,72.0
2,l2_class_le_B1 & l2_slowest_exh,3407,562,16.5,10.88,1.52,71.45
2,l2_st_gap_ge_005 & wind_3_4,3942,456,11.57,10.88,1.06,71.38
2,l2_course_back & wave_ge_4,305,24,7.87,10.88,0.72,71.3
2,l2_class_eq_B2 & wave_ge_4,231,27,11.69,10.88,1.07,70.25
2,l2_class_le_B1 & wind_ge_4,4925,625,12.69,10.88,1.17,69.38
2,l2_st_gap_ge_005 & wave_ge_4,2666,293,10.99,10.88,1.01,69.38
2,l2_st_gap_ge_005 & wind_ge_4,3687,425,11.53,10.88,1.06,69.08
2,l2_worst_class & l2_slowest_exh,512,130,25.39,10.88,2.33,68.98
2,l2_class_le_B1 & l2_worst_motor,940,143,15.21,10.88,1.4,68.71
2,l2_slowest_exh & l2_exh_gap_ge_002,5694,772,13.56,10.88,1.25,68.3
2,l2_class_le_B1 & l2_exh_gap_ge_002,9685,1323,13.66,10.88,1.26,68.12
2,l2_class_le_B1 & l1_worst_st,2684,279,10.39,10.88,0.96,67.87
2,l2_exh_gap_ge_002 & wave_5_6,1968,226,11.48,10.88,1.06,67.81
2,l2_class_le_B1 & wind_3_4,5167,652,12.62,10.88,1.16,67.68
2,l2_class_eq_B2 & l2_worst_nat,514,92,17.9,10.88,1.64,67.43
2,l2_class_le_B1 & l2_class_eq_B2,836,121,14.47,10.88,1.33,67.35
2,l2_slowest_exh & l1_worst_st,978,120,12.27,10.88,1.13,67.27
