race_id,race_date,stadium_code,stadium_name,race_no,grade,meeting_day_no,meeting_day_label,is_final_day,lane,racer_id,racer_name,racer_class,branch,hometown,age,weight_kg,weight_kg_before,adjust_weight_kg,f_count,l_count,avg_start_timing,national_win_rate,national_place_rate,national_top3_rate,local_win_rate,local_place_rate,local_top3_rate,motor_no,motor_place_rate,motor_top3_rate,boat_no,boat_place_rate,boat_top3_rate,exhibition_time,tilt,course_entry,start_exhibition_st,start_exhibition_status,weather_condition,weather_temp_c,wind_speed_m,wind_direction_code,water_temp_c,wave_height_cm,first_place_lane,second_place_lane,third_place_lane,is_winner,is_top2,is_top3,exhibition_time_rank,exhibition_time_diff_from_top,win_rate_rank,st_diff_from_inside,is_hometown
202401020607,2024-01-02,06,浜名湖,7,一般,5,第5日,False,6,3718,伊達正利,B1,静岡,,48,54.0,,,,,,4.33,30.0,,4.6,28.87,,36,32.65,,27,36.59,,6.81,,6,0.11,,晴,,2,,,1,5,4,2,0,0,0,6,0.2,6,0.1,0
202401020710,2024-01-02,07,蒲郡,10,一般,3,第3日,False,1,4276,鈴木勝博,A1,愛知,,40,52.0,,,,,,6.54,49.57,,7.09,65.82,,41,45.3,,76,37.1,,6.81,,1,0.18,,晴,,3,,,1,1,2,6,1,1,1,5,0.17,2,,0
202401020710,2024-01-02,07,蒲郡,10,一般,3,第3日,False,2,4786,佐藤博亮,A2,愛知,,35,53.0,,,,,,6.79,55.75,,7.01,55.41,,33,35.9,,67,30.91,,6.8,,2,0.32,,晴,,3,,,1,1,2,6,0,1,1,4,0.16,1,0.14,0
202401020710,2024-01-02,07,蒲郡,10,一般,3,第3日,False,3,4943,八木治樹,B1,愛知,,32,54.0,,,,,,4.8,23.6,,3.7,14.81,,34,31.07,,24,31.48,,6.78,,4,0.16,,晴,,3,,,1,1,2,6,0,0,0,2,0.14,6,-0.16,0
202401020710,2024-01-02,07,蒲郡,10,一般,3,第3日,False,4,4199,北川潤二,A1,愛知,,41,57.0,,,,,,6.36,44.52,,6.51,47.97,,49,31.09,,62,31.93,,6.81,,3,0.19,,晴,,3,,,1,1,2,6,0,0,0,6,0.17,3,0.03,0
202401020710,2024-01-02,07,蒲郡,10,一般,3,第3日,False,5,5166,仲道大輔,B1,愛知,,23,50.0,,,,,,5.88,35.71,,3.17,10.17,,68,49.59,,54,35.43,,6.64,,6,0.12,,晴,,3,,,1,1,2,6,0,0,0,1,0.0,4,-0.07,0
202401020710,2024-01-02,07,蒲郡,10,一般,3,第3日,False,6,4215,吉島祥之,A2,愛知,,39,56.0,,,,,,5.64,34.48,,5.51,33.59,,59,28.23,,35,47.78,,6.78,,5,0.16,,晴,,3,,,1,1,2,6,0,0,1,3,0.14,5,0.04,0
202401020811,2024-01-02,08,常滑,11,一般,4,第4日,False,1,3941,池田浩二,A1,愛知,,45,51.0,,,,,,8.41,64.29,,8.59,73.91,,16,25.0,,46,35.25,,6.73,,1,0.1,,晴,,1,,,0,1,4,2,1,1,1,2,0.05,1,,0
202401020811,2024-01-02,08,常滑,11,一般,4,第4日,False,2,4676,後藤隼之,B1,東京,,35,57.0,,,,,,5.32,36.19,,5.83,31.43,,14,25.0,,11,38.28,,6.77,,2,0.16,,晴,,1,,,0,1,4,2,0,0,1,4,0.09,4,0.06,0
202401020811,2024-01-02,08,常滑,11,一般,4,第4日,False,3,4298,宮下元胤,A2,愛知,,41,54.0,,,,,,5.87,41.18,,5.86,38.98,,9,44.44,,17,35.71,,6.68,,3,0.16,,晴,,1,,,0,1,4,2,0,0,0,1,0.0,3,0.0,0
202401020811,2024-01-02,08,常滑,11,一般,4,第4日,False,4,4228,吉田慎二,A1,愛知,,40,56.0,,,,,,6.02,41.86,,5.83,44.78,,54,63.64,,54,33.87,,6.82,,4,0.16,,晴,,1,,,0,1,4,2,0,1,1,5,0.14,2,0.0,0
202401020811,2024-01-02,08,常滑,11,一般,4,第4日,False,5,5197,中野仁照,B1,愛知,,22,52.0,,,,,,4.11,21.43,,3.18,7.84,,46,60.0,,73,33.33,,6.85,,5,0.15,,晴,,1,,,0,1,4,2,0,0,0,6,0.17,6,-0.01,0
202401020811,2024-01-02,08,常滑,11,一般,4,第4日,False,6,4785,木幡純也,B1,愛知,,36,52.0,,,,,,4.13,13.25,,4.23,18.75,,21,50.0,,27,35.65,,6.76,,6,0.16,,晴,,1,,,0,1,4,2,0,0,0,3,0.08,5,0.01,0
202401020905,2024-01-02,09,津,5,一般,4,第4日,False,1,4688,永井彪也,A1,東京,,31,53.0,,,,,,6.58,46.28,,6.83,50.0,,17,14.29,,21,50.0,,6.75,,1,0.2,,晴,,2,,,1,1,3,2,1,1,1,1,0.0,1,,0
202401020905,2024-01-02,09,津,5,一般,4,第4日,False,2,4293,鈴木智啓,B1,愛知,,38,58.0,,,,,,4.73,31.76,,5.14,35.71,,56,54.55,,75,16.67,,6.84,,2,0.13,,晴,,2,,,1,1,3,2,0,0,1,3,0.09,3,-0.07,0
202401020905,2024-01-02,09,津,5,一般,4,第4日,False,3,4104,木下陽介,B1,東京,,44,56.0,,,,,,5.29,38.75,,6.78,55.56,,23,7.14,,11,25.0,,6.82,,3,0.21,,晴,,2,,,1,1,3,2,0,1,1,2,0.07,2,0.08,0
202401020905,2024-01-02,09,津,5,一般,4,第4日,False,4,3392,小森信雄,B1,三重,,58,53.0,,,,,,4.48,24.44,,4.47,25.32,,66,42.86,,59,20.0,,6.85,,4,0.05,,晴,,2,,,1,1,3,2,0,0,0,4,0.1,4,-0.16,0
202401020905,2024-01-02,09,津,5,一般,4,第4日,False,5,5183,中野孝二,B1,三重,,25,54.0,,,,,,4.36,20.51,,2.87,11.67,,22,57.14,,33,42.86,,,,,,,晴,,2,,,1,1,3,2,0,0,0,5,,5,,0
202401020905,2024-01-02,09,津,5,一般,4,第4日,False,6,5020,宮村勇哉,B1,三重,,31,54.0,,,,,,4.29,26.83,,4.87,31.71,,58,0.0,,34,28.57,,,,,,,晴,,2,,,1,1,3,2,0,0,0,6,,6,,0
202401020912,2024-01-02,09,津,12,一般,4,第4日,False,1,4926,吉川貴仁,A1,三重,,30,52.0,,,,,,7.31,62.16,,6.45,44.64,,43,57.14,,46,28.57,,6.65,,1,0.02,,晴,,4,,,2,1,2,5,1,1,1,1,0.0,1,,0
202401020912,2024-01-02,09,津,12,一般,4,第4日,False,2,4024,井口佳典,A1,三重,,46,52.0,,,,,,6.99,44.86,,8.43,73.26,,44,35.29,,30,22.22,,6.65,,2,0.06,,晴,,4,,,2,1,2,5,0,1,1,2,0.0,2,0.04,0
202401020912,2024-01-02,09,津,12,一般,4,第4日,False,3,3852,澤大介,A2,三重,,51,52.0,,,,,,5.97,39.68,,5.86,40.15,,49,33.33,,31,20.0,,6.76,,3,0.32,,晴,,4,,,2,1,2,5,0,0,0,6,0.11,4,0.26,0
202401020912,2024-01-02,09,津,12,一般,4,第4日,False,4,4431,石塚裕介,B1,三重,,37,52.0,,,,,,5.44,30.49,,5.11,33.01,,48,42.86,,38,53.33,,6.7,,4,0.02,,晴,,4,,,2,1,2,5,0,0,0,4,0.05,5,-0.3,0
202401020912,2024-01-02,09,津,12,一般,4,第4日,False,5,4579,中嶋健一,A2,三重,,34,54.0,,,,,,6.06,43.61,,6.32,45.08,,52,33.33,,41,0.0,,6.65,,5,0.07,,晴,,4,,,2,1,2,5,0,0,1,3,0.0,3,0.05,0
202401020912,2024-01-02,09,津,12,一般,4,第4日,False,6,5183,中野孝二,B1,三重,,25,54.0,,,,,,4.36,20.51,,2.87,11.67,,22,57.14,,33,42.86,,6.74,,6,0.09,,晴,,4,,,2,1,2,5,0,0,0,5,0.09,6,0.02,0
202401021509,2024-01-02,15,丸亀,9,一般,4,第4日,False,1,4739,中村晃朋,A1,香川,,32,51.0,,,,,,6.32,42.98,,6.68,44.04,,34,39.73,,66,35.8,,6.76,,1,0.09,,晴,,1,,,1,1,3,5,1,1,1,2,0.03,3,,0
202401021509,2024-01-02,15,丸亀,9,一般,4,第4日,False,2,5136,濱野斗馬,A2,香川,,24,53.0,,,,,,6.38,48.41,,5.31,33.89,,45,41.18,,58,29.87,,6.81,,2,0.06,,晴,,1,,,1,1,3,5,0,0,0,5,0.08,2,-0.03,0
202401021509,2024-01-02,15,丸亀,9,一般,4,第4日,False,3,4459,片岡雅裕,A1,香川,,37,52.0,,,,,,6.62,40.8,,7.63,59.03,,27,32.81,,8,25.3,,6.73,,3,0.11,,晴,,1,,,1,1,3,5,0,1,1,1,0.0,1,0.05,0
202401021509,2024-01-02,15,丸亀,9,一般,4,第4日,False,4,3478,嶋田貴支,B1,香川,,53,52.0,,,,,,5.12,33.33,,4.63,26.92,,33,45.45,,31,23.61,,6.85,,4,0.17,,晴,,1,,,1,1,3,5,0,0,0,6,0.12,6,0.06,0
202401021509,2024-01-02,15,丸亀,9,一般,4,第4日,False,5,3907,村越篤,A2,香川,,45,54.0,,,,,,5.63,36.97,,5.98,44.51,,9,32.0,,63,35.48,,6.78,,5,0.21,,晴,,1,,,1,1,3,5,0,0,1,3,0.05,4,0.04,0
202401021509,2024-01-02,15,丸亀,9,一般,4,第4日,False,6,4821,妻鳥晋也,B1,香川,,32,55.0,,,,,,5.33,36.89,,5.49,39.82,,21,39.08,,4,30.34,,6.8,,6,0.25,,晴,,1,,,1,1,3,5,0,0,0,4,0.07,5,0.04,0
202401021708,2024-01-02,17,宮島,8,一般,4,第4日,False,1,3757,畑和宏,B1,広島,,52,50.0,,,,,,5.65,35.0,,5.91,39.32,,24,27.59,,19,33.96,,6.8,,1,0.22,,晴,,1,,,1,4,1,6,0,1,1,5,0.12,4,,0
202401021708,2024-01-02,17,宮島,8,一般,4,第4日,False,2,4471,新田泰章,A1,広島,,36,51.0,,,,,,5.94,47.97,,5.87,40.36,,53,37.5,,72,33.87,,6.76,,2,0.26,,晴,,1,,,1,4,1,6,0,0,0,3,0.08,2,0.04,0
202401021708,2024-01-02,17,宮島,8,一般,4,第4日,False,3,4163,山崎裕司,A2,広島,,41,51.0,,,,,,6.18,48.12,,6.58,50.0,,54,38.71,,21,50.0,,6.68,,3,0.25,,晴,,1,,,1,4,1,6,0,0,0,1,0.0,1,-0.01,0
202401021708,2024-01-02,17,宮島,8,一般,4,第4日,False,4,4872,山下流心,A2,広島,,30,53.0,,,,,,5.84,36.99,,5.79,43.4,,59,47.62,,67,42.37,,6.73,,4,0.18,,晴,,1,,,1,4,1,6,1,1,1,2,0.05,3,-0.07,0
202401021708,2024-01-02,17,宮島,8,一般,4,第4日,False,5,5243,三馬崇史,B2,広島,,23,55.0,,,,,,2.11,3.57,,1.67,1.14,,12,35.71,,70,43.14,,6.77,,5,0.25,,晴,,1,,,1,4,1,6,0,0,0,4,0.09,6,0.07,0
